"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Origin and destination of transported commodities, Canadian Freight Analysis Framework",23100142,,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310014201",,"CURRENT - a cube available to the public and that is current",Annual,2011-01-01,2017-01-01,5

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,"Geography, origin of shipments",,
2,"Geography, destination of shipments",,
3,"Mode of transportation",,
4,"Commodity group",1,
5,Characteristics,,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,"Newfoundland and Labrador, origin of shipments",[10],1,,,,
1,"Prince Edward Island, origin of shipments",[11],2,,,,
1,"Halifax, Nova Scotia, origin of shipments",[205],3,,,,
1,"Rest of Nova Scotia, origin of shipments",,4,,,,
1,"New Brunswick, origin of shipments",[13],5,,,,
1,"Québec, Quebec, origin of shipments",[421],6,,,,
1,"Montréal, Quebec, origin of shipments",[462],7,,,,
1,"Rest of Quebec, origin of shipments",,8,,,,
1,"Oshawa, Ontario, origin of shipments",[532],9,,,,
1,"Toronto, Ontario, origin of shipments",[535],10,,,,
1,"Hamilton, Ontario, origin of shipments",[537],11,,,,
1,"Windsor, Ontario, origin of shipments",[559],12,,,,
1,"Rest of Ontario, origin of shipments",,13,,,,
1,"Winnipeg, Manitoba, origin of shipments",[602],14,,,,
1,"Rest of Manitoba, origin of shipments",,15,,,,
1,"Saskatoon, Saskatchewan, origin of shipments",[725],16,,,,
1,"Rest of Saskatchewan, origin of shipments",,17,,,,
1,"Calgary, Alberta, origin of shipments",[825],18,,,,
1,"Edmonton, Alberta, origin of shipments",[835],19,,,,
1,"Rest of Alberta, origin of shipments",,20,,,,
1,"Vancouver, British Columbia, origin of shipments",[933],21,,,,
1,"Rest of British Columbia, origin of shipments",,22,,,,
1,"Yukon, origin of shipments",[60],23,,,,
1,"Northwest Territories, origin of shipments",[61],24,,,,
1,"Nunavut, origin of shipments",[62],25,,,,
1,"United States and Mexico, origin of shipments",,26,,,,
1,"Other international, origin of shipments",,27,,,,
2,"Newfoundland and Labrador, destination of shipments",,1,,,,
2,"Prince Edward Island, destination of shipments",,2,,,,
2,"Halifax, Nova Scotia, destination of shipments",,3,,,,
2,"Rest of Nova Scotia, destination of shipments",,4,,,,
2,"New Brunswick, destination of shipments",,5,,,,
2,"Québec, Quebec, destination of shipments",,6,,,,
2,"Montréal, Quebec, destination of shipments",,7,,,,
2,"Rest of Quebec, destination of shipments",,8,,,,
2,"Oshawa, Ontario, destination of shipments",,9,,,,
2,"Toronto, Ontario, destination of shipments",,10,,,,
2,"Hamilton, Ontario, destination of shipments",,11,,,,
2,"Windsor, Ontario, destination of shipments",,12,,,,
2,"Rest of Ontario, destination of shipments",,13,,,,
2,"Winnipeg, Manitoba, destination of shipments",,14,,,,
2,"Rest of Manitoba, destination of shipments",,15,,,,
2,"Saskatoon, Saskatchewan, destination of shipments",,16,,,,
2,"Rest of Saskatchewan, destination of shipments",,17,,,,
2,"Calgary, Alberta, destination of shipments",,18,,,,
2,"Edmonton, Alberta, destination of shipments",,19,,,,
2,"Rest of Alberta, destination of shipments",,20,,,,
2,"Vancouver, British Columbia, destination of shipments",,21,,,,
